Governorate,City,Block
Southern,Aáli,746
Southern,Aáli,748
Southern,Al Door,965
Southern,Algainah,961
Southern,Al Hajyat,929
Southern,Al Hajyat,931
Southern,Al Hajyat,935
Southern,Al Hajyat,939
Southern,Al Hunaniya,901
Southern,Al Hunaniya,903
Southern,Al Jaseera,971
Southern,Al Mamtala,1099
Southern,Al Mazrooeeah,943
Southern,Al Moaaskar,949
Southern,Al Omar,988
Southern,Al Qarah,983
Southern,Al Qarah,987
Southern,Al Qareen,967
Southern,Al Rawdha,906
Southern,Al Rawdha,930
Southern,Al Riffah,947
Southern,Al Romaitha,995
Southern,Al Rumamin,981
Southern,Al Rumamin,982
Southern,Al Shabak,989
Southern,Askar,951
Southern,Awali,945
Southern,Awali,946
Southern,Belaj Al Jazair,1063
Southern,Belaj Al Jazair,1064
Southern,Bu Kuwarah,913
Southern,Bu Kuwarah,917
Southern,Bu Kuwarah,919
Southern,Bu Kuwarah,921
Southern,Bu Kuwarah,923
Southern,Bu Kuwarah,925
Southern,Bu Kuwarah,927
Southern,Dar Kulaib,1048
Southern,Durrat Al Bahrain,999
Southern,East Riffa,905
Southern,East Riffa,907
Southern,East Riffa,909
Southern,East Riffa,911
Southern,Hafeera,959
Southern,Hawrat Sanad,645
Southern,Hidd Al Jamal,973
Southern,Hlaitan,1067
Southern,Horat Anaqa,1062
Southern,Isa Town,801
Southern,Isa Town,802
Southern,Isa Town,803
Southern,Isa Town,804
Southern,Isa Town,805
Southern,Isa Town,806
Southern,Isa Town,807
Southern,Isa Town,808
Southern,Isa Town,809
Southern,Isa Town,810
Southern,Isa Town,812
Southern,Isa Town,813
Southern,Isa Town,814
Southern,Isa Town,840
Southern,Isa Town,841
Southern,Jari Al Shaikh,920
Southern,Jari Al Shaikh,924
Southern,Jari Al Shaikh,926
Southern,Jaw,957
Southern,Jaw,960
Southern,Jazaer Beach,1061
Southern,Juzur Al Dar,613
Southern,Lhassay,948
Southern,Maameer,635
Southern,Maameer,636
Southern,Mamlahat Al Mamtala,1069
Southern,Mamlahat Al Mamtala,1070
Southern,Mazraa,953
Southern,New districts,1101
Southern,New districts,1102
Southern,New districts,1103
Southern,New districts,1104
Southern,New districts,1106
Southern,New districts,1107
Southern,New districts,1108
Southern,New districts,1110
Southern,New districts,1111
Southern,New districts,1112
Southern,New districts,1113
Southern,New districts,918
Southern,New districts,932
Southern,New districts,944
Southern,New districts,950
Southern,New districts,955
Southern,Nuwaydirat,643
Southern,Nuwaydirat,646
Southern,Ras Abu Jarjor,954
Southern,Ras Hayan,958
Southern,Ras Zuwaid,952
Southern,Riffa / Albuhair,914
Southern,Riffa / Albuhair,915
Southern,Riffa / Albuhair,916
Southern,Riffa / Albuhair,922
Southern,Riffa / Albuhair,933
Southern,Riffa / Albuhair,934
Southern,Riffa / Albuhair,937
Southern,Riffa / Albuhair,941
Southern,Sukhair,976
Southern,Sukhair,985
Southern,Swayfra,942
Southern,Trafi,998
Southern,Um Albaidh,614
Southern,Um Albaidh,615
Southern,Um Albaidh,616
Southern,Um Jadir,986
Southern,Umm Jidr Al Summan,997
Southern,Wadi Ali,1068
Southern,Wadi Al Sale,928
Southern,West Riffa,902
Southern,West Riffa,904
Southern,West Riffa,908
Southern,West Riffa,910
Southern,West Riffa,912
Southern,Zallaq,1051
Southern,Zallaq,1052
Southern,Zallaq,1054
Southern,Zallaq,1055
Southern,Zallaq,1056
Southern,Zayed Town,718
Southern,Zayed Town,720
Northern,Aáli,732
Northern,Aáli,734
Northern,Aáli,736
Northern,Aáli,738
Northern,Aáli,740
Northern,Aáli,742
Northern,Aáli,744
Northern,Abu Saiba'a,469
Northern,Abu Saiba'a,471
Northern,Abu Saiba'a,473
Northern,Abu Saiba'a,475
Northern,Al Hajar,463
Northern,Al Hajar,465
Northern,Al Jasra,1001
Northern,Al Jasra,1002
Northern,Al Jasra,1003
Northern,Al Jasra,1004
Northern,Al Jasra,1006
Northern,Al Lawzi,1016
Northern,Al Lawzi,1018
Northern,Al Lawzi,1020
Northern,Al Muhamadyia,587
Northern,Al Shakhura,477
Northern,Al Shakhura,479
Northern,Al Shakhura,481
Northern,Bani Jamra,537
Northern,Bani Jamra,539
Northern,Bani Jamra,541
Northern,Bani Jamra,543
Northern,Barbar,518
Northern,Barbar,520
Northern,Barbar,522
Northern,Barbar,524
Northern,Barbar,526
Northern,Barbar,528
Northern,Barbar,530
Northern,Budaiya,550
Northern,Budaiya,552
Northern,Budaiya,553
Northern,Budaiya,555
Northern,Budaiya,557
Northern,Budaiya,559
Northern,Buqwa,455
Northern,Buqwa,457
Northern,Buri,752
Northern,Buri,754
Northern,Buri,756
Northern,Buri,758
Northern,Buri,760
Northern,Buri,762
Northern,Damistan,1017
Northern,Damistan,1019
Northern,Damistan,1022
Northern,Dar Kulaib,1046
Northern,Diraz,536
Northern,Diraz,538
Northern,Diraz,540
Northern,Diraz,542
Northern,Diraz,544
Northern,Hamad Town,1038
Northern,Hamad Town,1203
Northern,Hamad Town,1204
Northern,Hamad Town,1205
Northern,Hamad Town,1206
Northern,Hamad Town,1207
